Crop,City,Year,Actual_AW,Predicted_AW,Adjusted_AW,Rainfall,Soil_Moisture
Almonds,Merced,2025,2.5,1.446343286583196,1.6570746292665568,0.0,0.35
Grapes,Fresno,2025,1.5,1.4494890875909985,1.4595912700727989,0.0,0.35
